파라미터명,,,타입,Nullable,설명
sync_time,,,string,TRUE,"응답시각, yyyy-MM-ddTHH:mm:ss+09:00"
article_count,,,int,FALSE,응답 기사 수
articles,,,array,FALSE,
,article_id,,string,FALSE,기사 ID
,article_url,,string,FALSE,팜이데일리 기사 페이지 URL
,status,,string,FALSE,"출고타입 (I: 최초출고, U: 수정출고, D: 삭제)"
,is_paid,,boolean,FALSE,"유료여부 (true: 유료기사, false: 무료기사)"
,title,,string,FALSE,제목
,subtitle,,string,FALSE,부제목
,body_html,,string,FALSE,본문 (HTML 태그 포함)
,body_text,,string,FALSE,본문 (HTML 태그 제거)
,reporter,,object,FALSE,
,,id,string,FALSE,기자 ID
,,name,string,FALSE,기자명
,category,,object,FALSE,
,,pharm_category_code,string,FALSE,팜이데일리 분류코드
,,edaily_category_code,string,FALSE,이데일리 분류코드
,image_list,,array,TRUE,
,,url,string,FALSE,이미지 URL
,,caption,string,FALSE,이미지 캡션
,,orders,int,FALSE,이미지 삽입 순서
,keywords,,array(string),FALSE,키워드
,stock_codes,,array(string),FALSE,종목코드
,registered_date,,string,FALSE,"등록일, yyyy-MM-dd"
,published_at,,string,FALSE,"최초 출고일시, yyyy-MM-ddTHH:mm:ss+09:00"
,free_conversion_at,,string,TRUE,"무료 전환 일시, yyyy-MM-ddTHH:mm:ss+09:00"
,updated_at,,string,FALSE,"수정 출고일시, yyyy-MM-ddTHH:mm:ss+09:00"
