date,open,high,low,close,volume
20251201,1451,1605,1400,1415,2044588
20251202,1414,1546,1362,1524,1247302
20251203,1529,1590,1450,1581,1014317
20251204,1581,1632,1480,1530,737987
20251205,1530,1934,1495,1898,4702577
20251208,1910,2000,1764,1798,1886405
20251209,1779,1843,1670,1720,1247754
20251210,1720,2235,1620,1769,11720675
20251211,1820,1940,1743,1879,3974091
20251212,1866,1948,1810,1893,1634937
20251215,1893,1965,1855,1965,1252268
20251216,2005,2020,1908,1962,940389
20251217,1958,1963,1905,1943,478101
20251218,1886,1963,1873,1952,600117
20251219,1950,1960,1890,1890,635160
20251222,1890,1949,1745,1845,755433
20251223,1847,1877,1720,1783,815830
20251224,1700,1792,1640,1762,832015
20251226,1780,1780,1670,1708,703133
20251229,1710,1781,1670,1729,529001
20251230,1705,1864,1685,1848,736340
20260102,1850,1949,1729,1845,768232
20260105,1840,1880,1764,1863,513824
20260106,1865,1869,1810,1828,305591
20260107,1828,1999,1805,1987,981996
20260108,1970,1985,1878,1961,549322
20260109,1951,2015,1920,1969,354415
20260112,1969,2240,1935,2120,1424341
20260113,2110,2110,1978,2000,737855
20260114,2000,2110,1905,2020,472768
20260115,2030,2130,1994,2075,399219
20260116,2140,2140,2000,2100,434354
20260119,2075,2135,2035,2095,587814
20260120,2095,2240,2035,2220,714519
20260121,2215,2215,1980,2045,1059974
20260122,2045,2270,1990,2115,895810
20260123,2085,2680,2070,2580,4961902
20260126,2600,3300,2580,3170,5175674
20260127,3170,3785,3170,3665,4305025
20260128,3690,3910,3410,3865,2613650
20260129,3995,4100,3830,3975,1417673
20260130,3975,3975,3135,3345,2527449
20260202,3145,3220,2810,2980,1759354
20260203,2990,3160,2905,2985,867223
20260204,2985,3100,2930,3055,609686
20260205,3080,3095,2860,2885,521234
20260206,2825,3010,2635,2940,597928
20260209,2940,3050,2895,2995,394295
20260210,3010,3535,2920,3275,1259020
20260211,3245,3350,3135,3145,473454
20260212,3075,3580,3055,3430,1087159
20260213,3430,3440,3100,3265,982032
20260219,3305,3975,3305,3740,1827358
20260220,3740,3760,3345,3405,1264342
20260223,3395,3555,3215,3460,764543
20260224,3480,3585,3260,3345,510046
20260225,3340,3380,3165,3175,771181
20260226,3295,3620,3180,3185,664993
20260227,3185,3330,3150,3235,377073
20260303,3125,3195,2855,2925,1027615
20260304,2870,2905,2485,2540,1237331
20260305,2700,2910,2690,2820,635967
