date,open,high,low,close,volume
2025-03-05,77.44,78.36,77.39,77.96,2455250
2025-03-06,77.39,78.04,77.21,77.47,2584550
2025-03-07,77.69,78.25,77.28,77.5,3511700
2025-03-10,76.11,76.97,75.47,75.99,3127350
2025-03-11,75.52,75.67,74.18,74.24,3054450
2025-03-12,75.27,75.79,74.68,75.57,3337350
2025-03-13,76.7,77.03,76.17,76.51,3715450
2025-03-14,76.87,77.69,76.74,77.6,2987000
2025-03-17,77.16,77.76,77.08,77.37,1933850
2025-03-18,77.49,77.52,76.69,77.07,1798700
2025-03-19,76.98,77.03,76.17,76.32,2025300
2025-03-20,76.6,77.01,76.27,76.52,1597400
2025-03-21,75.59,75.9,74.68,74.93,2586400
2025-03-24,73.84,74.42,73.79,74.09,1870450
2025-03-25,75.05,75.12,72.62,73.05,3037800
2025-03-26,72.38,73.11,71.82,72.72,3258100
2025-03-27,72.43,73.04,72.37,72.84,2281600
2025-03-28,73.7,74.19,73.43,73.79,1713850
2025-03-31,72.6,73.68,72.18,73.5,1945800
2025-04-01,74,74.01,72.42,72.6,2362500
2025-04-02,72.52,72.84,72.05,72.22,2088650
2025-04-03,75.62,75.7,73.87,73.92,4574400
2025-04-04,71.75,72.05,68.43,68.46,4606000
2025-04-07,64.78,67.34,63.93,65.79,6481850
2025-04-08,66.95,67.09,64.67,64.9,7700500
2025-04-09,61.81,67.08,61.24,66.76,6519200
2025-04-10,65.86,65.91,63.08,64.87,4881400
2025-04-11,65.02,66.62,64.44,66.29,2880650
2025-04-14,66.79,68.32,66.69,68.01,2969950
2025-04-15,68.1,68.4,67.32,67.87,2945250
2025-04-16,68.09,68.17,66.81,67.05,1777300
2025-04-17,67.15,68.15,67.09,67.59,1898000
2025-04-21,67.8,67.91,66.59,66.9,1286400
2025-04-22,66.95,68.44,66.87,67.87,2903500
2025-04-23,68.85,69.27,68.36,68.51,2837000
2025-04-24,69.16,69.71,68.48,69.55,1716000
2025-04-25,69.65,69.79,68.8,69.57,3331300
2025-04-28,70.25,70.81,69.53,69.93,4011700
2025-04-29,70.4,72.06,69.71,71.71,3959450
2025-04-30,72.52,72.57,71.3,71.79,2028650
2025-05-01,70.09,70.69,69.7,70.51,2910050
2025-05-02,71.51,72.67,71.35,72.44,2687200
2025-05-05,72.5,72.52,71.99,72.09,1527850
2025-05-06,72.69,72.69,70.2,70.26,2401000
2025-05-07,70.02,70.69,69.84,70.07,2019800
2025-05-08,68.43,68.51,67.26,67.3,3572950
2025-05-09,68.04,68.63,67.52,67.57,3107950
2025-05-12,66.44,68.95,66.37,68.95,3535650
2025-05-13,68.42,68.44,67.39,67.72,2414350
2025-05-14,68.22,68.22,66.16,66.23,2820650
2025-05-15,67.55,67.97,67.07,67.96,2994950
2025-05-16,68.21,68.86,68.08,68.81,1871650
2025-05-19,68.69,69.7,68.68,69.69,2657950
2025-05-20,69.79,70.43,69.56,69.92,2147550
2025-05-21,70.96,70.98,69.57,69.68,2196600
2025-05-22,69.58,70.28,69.47,69.95,1705050
2025-05-23,69.96,70.6,69.91,70.41,1979150
2025-05-27,71.28,71.41,70.53,70.96,2229600
2025-05-28,70.19,70.56,69.97,70.38,1910350
2025-05-29,70.37,70.9,70.07,70.87,1730350
2025-05-30,71.08,73.2,70.6,72.83,4016950
2025-06-02,71.57,72.2,71.28,71.93,3194950
2025-06-03,72.18,72.53,71.65,71.82,2257250
2025-06-04,72.61,73.39,72.41,73,1810350
2025-06-05,72.89,72.93,72.18,72.35,1987400
2025-06-06,72.42,73.17,72.42,72.88,1226950
2025-06-09,72.54,73.57,72.54,73.01,1773700
2025-06-10,73.27,74.07,73.16,73.83,1477800
2025-06-11,73.43,74.16,73.43,73.74,1777550
2025-06-12,74.62,75.38,74.26,75,1722900
2025-06-13,74.15,74.98,73.91,74.42,1565800
2025-06-16,74.35,74.76,73.41,73.55,1709550
2025-06-17,72.51,72.69,70.92,70.97,2131800
2025-06-18,71.12,71.26,70.54,70.76,1685700
2025-06-20,71.14,71.14,69.66,69.95,3148550
2025-06-23,70,70.71,69.94,70.64,1474900
2025-06-24,70.31,70.91,70,70.54,1823300
2025-06-25,70.2,70.22,69.65,69.68,2011600
2025-06-26,70.09,70.37,69.66,70.07,2124850
2025-06-27,70.03,70.35,69.71,69.85,1567400
2025-06-30,69.89,70.07,69.41,69.88,1850700
2025-07-01,70.11,72.01,70.04,71.46,3365450
2025-07-02,70.64,71.27,70.51,71.13,1838050
2025-07-03,71.11,71.16,69.18,69.45,3384000
2025-07-07,69.97,70.02,69.31,69.63,2220800
2025-07-08,69.23,70.49,69.15,70.02,2039800
2025-07-09,69.89,70.87,69.74,70.82,1832700
2025-07-10,71.65,72.46,71.29,71.81,2022850
2025-07-11,70.99,71.15,70.5,71.13,1364950
2025-07-14,71.35,72.21,71.21,71.74,1700850
2025-07-15,71.78,71.81,70.27,70.32,1595800
2025-07-16,69.96,70.69,69.85,70.08,1771500
2025-07-17,69.52,69.72,68.61,69.26,1849350
2025-07-18,69.59,69.61,68.67,68.79,1495900
2025-07-21,68.88,69.37,68.61,68.72,1602750
2025-07-22,69.42,70.54,69.42,70.48,1563350
2025-07-23,72.17,73.3,72,73,2510200
2025-07-24,74.13,74.38,73.55,73.68,2883500
2025-07-25,72.65,72.9,72.27,72.66,3101150
2025-07-28,72.72,73.03,71.49,71.83,3823900
2025-07-29,72.92,75,72.57,73.98,7215700
2025-07-30,75.56,76.73,75.36,76.59,5135550
2025-07-31,74.59,75.64,73.03,73.09,4299850
2025-08-01,73.55,74.12,73.34,73.95,4901900
2025-08-04,73.33,74.6,73.22,74.59,1756700
2025-08-05,74.84,74.95,74.25,74.48,1719850
2025-08-06,74.7,75.1,73.42,73.6,1473650
2025-08-07,73.79,74.6,73.45,74.57,1713800
2025-08-08,73.47,73.9,73.11,73.55,2493100
2025-08-11,73.86,74.31,73.66,74.07,1279150
2025-08-12,74.11,75.37,74.04,75.34,1386300
2025-08-13,76.93,78.03,76.79,77.94,2504250
2025-08-14,77.82,78.59,77.74,78.47,2859050
2025-08-15,78.51,79.31,78.3,79.17,2380450
2025-08-18,79.49,79.78,79.1,79.12,1508850
2025-08-19,79.33,79.8,79.22,79.54,1844950
2025-08-20,80.2,81.13,80.18,80.52,1785950
2025-08-21,80.4,80.98,80.4,80.46,1268250
2025-08-22,81.09,81.56,80.61,80.97,1802150
2025-08-25,81.52,81.52,79.49,79.66,1689700
2025-08-26,80.57,80.57,79.38,80.05,2664300
2025-08-27,80.06,80.26,79.47,79.93,2428300
2025-08-28,79.93,80.16,79.35,79.99,1515450
2025-08-29,79.59,80.09,79.37,79.9,1412350
2025-09-02,79.86,80.59,79.43,80.19,1494300
2025-09-03,80.95,82.19,80.91,82.11,2101650
2025-09-04,81.88,82.28,81.48,81.78,1560750
2025-09-05,82.05,82.41,81.54,81.7,1232200
2025-09-08,80.73,81.61,80.18,81.56,1312000
2025-09-09,81.01,81.36,80.74,81.22,1189450
2025-09-10,80.91,81.12,80.58,80.81,1056250
2025-09-11,80.82,81.31,80.68,81.1,1414750
2025-09-12,80.82,81.16,79.08,79.56,2245850
2025-09-15,78.22,78.52,77.36,78.05,2223550
2025-09-16,77.91,78.02,77.24,77.56,1704750
2025-09-17,77.19,78.08,77.07,77.69,2329250
2025-09-18,76.92,77.15,76.08,77.07,2279150
2025-09-19,76.79,77.27,76.16,76.28,3330750
2025-09-22,76.67,77.89,76.58,77.5,2435200
2025-09-23,76.61,76.86,75.9,75.97,1956300
2025-09-24,75.2,75.66,74.92,75.36,1546450
2025-09-25,74.57,74.69,72.9,73.53,2443200
2025-09-26,73.67,74.06,73.33,73.76,2172700
2025-09-29,74.19,74.68,73.69,74.13,3059350
2025-09-30,74.43,76.99,73.96,76.72,3841100
2025-10-01,81.04,84.61,80.82,84.36,7225700
2025-10-02,83.4,84.05,82.88,83.65,2725600
2025-10-03,84.3,85.5,83.84,85.31,2934450
2025-10-06,85.54,86.57,85.14,85.49,3192450
2025-10-07,85.42,86.24,85.35,85.87,1746350
2025-10-08,86.35,86.48,85.16,85.38,3310550
2025-10-09,85.9,86.38,84.99,85.04,4546650
2025-10-10,85.63,85.88,83.85,84.53,7238150
