date,open,high,low,close,volume
2025-03-05,38.4,38.86,38.37,38.81,2465900
2025-03-06,38.61,39.42,38.6,39.3,5511200
2025-03-07,39.5,40.59,39.48,40.05,8122100
2025-03-10,40.37,40.81,40.1,40.32,7799300
2025-03-11,40.12,40.12,39.33,39.5,6015100
2025-03-12,39.32,39.32,38.78,38.88,5601000
2025-03-13,39.02,39.39,38.92,39.23,3937700
2025-03-14,39.21,39.61,39.05,39.49,4939500
2025-03-17,39.88,40.47,39.85,40.25,4160800
2025-03-18,40.23,40.39,40.11,40.39,3657700
2025-03-19,39.55,39.8,39.27,39.55,4421100
2025-03-20,39.58,39.66,39.24,39.41,3346100
2025-03-21,39.29,39.5,39.14,39.24,4021600
2025-03-24,38.77,38.93,38.47,38.57,4066700
2025-03-25,39.28,39.31,38.51,38.58,5837800
2025-03-26,38,38.49,37.76,38.31,4916100
2025-03-27,38.32,38.67,38.32,38.52,2248200
2025-03-28,38.81,38.98,38.59,38.74,3220400
2025-03-31,38.11,38.84,37.88,38.74,5357800
2025-04-01,38.73,38.77,37.68,37.87,5290700
2025-04-02,37.39,37.72,37.17,37.64,3720500
2025-04-03,39.09,39.17,38.47,39.01,10939900
2025-04-04,37.74,37.98,36.27,36.53,10603300
2025-04-07,34.51,35.72,34.18,34.84,7495400
2025-04-08,35.06,35.16,33.72,34.13,7228400
2025-04-09,32.59,34.85,32.38,34.48,9674200
2025-04-10,34.24,34.26,32.73,33.6,8484800
2025-04-11,33.77,34.78,33.53,34.64,9084600
2025-04-14,34.82,35.46,34.73,35.28,5892000
2025-04-15,35.86,36.16,35.52,35.68,3700500
2025-04-16,35.82,35.89,35.28,35.37,2897600
2025-04-17,35.15,36.11,35.08,35.93,4813900
2025-04-21,36.15,36.53,35.8,36.45,6612600
2025-04-22,36.1,36.99,36.08,36.63,6776500
2025-04-23,37.1,37.32,36.72,37.03,4458700
2025-04-24,37.04,37.51,36.84,37.5,4765100
2025-04-25,37.45,37.55,37.04,37.43,3909300
2025-04-28,37.78,38.2,37.77,38.06,5758800
2025-04-29,38.5,39.22,38.23,38.97,8255500
2025-04-30,40.18,40.38,39.23,39.85,8033100
2025-05-01,39.42,39.42,38.72,38.75,4449700
2025-05-02,39.44,39.51,38.59,39.07,4287300
2025-05-05,39.11,39.21,38.83,38.85,2821000
2025-05-06,39.23,39.23,37.48,37.5,9185600
2025-05-07,37.19,37.39,36.92,37.17,5029400
2025-05-08,36.73,36.98,36.42,36.87,5942700
2025-05-09,36.9,37.15,36.59,36.62,3511500
2025-05-12,36.63,37.49,36.51,37.37,6018200
2025-05-13,36.68,36.69,36.17,36.35,5083800
2025-05-14,36.78,36.83,36.2,36.22,7084200
2025-05-15,36.48,37.6,36.33,37.57,7527800
2025-05-16,37.12,37.68,37.09,37.64,7222100
2025-05-19,37.58,37.97,37.42,37.96,3866900
2025-05-20,38.39,38.45,37.98,38.4,2749200
2025-05-21,38.69,38.85,38.47,38.54,2996400
2025-05-22,38.39,39.05,38.31,38.92,5844700
2025-05-23,38.74,38.87,38.61,38.66,3666900
2025-05-27,39.53,39.65,39.31,39.44,3511800
2025-05-28,39.09,39.49,39.05,39.18,4221400
2025-05-29,39.26,40.05,39.22,40,5048100
2025-05-30,40.47,41.17,40.17,41.03,7372600
2025-06-02,41.38,41.66,41.03,41.66,4420000
2025-06-03,40.68,40.79,40.17,40.46,6328900
2025-06-04,40.54,40.96,40.54,40.8,2939700
2025-06-05,41.02,41.44,40.85,41.15,3248700
2025-06-06,41.04,41.33,40.96,41.2,3225600
2025-06-09,41.06,41.3,40.83,40.86,3919700
2025-06-10,40.68,41.37,40.67,41.3,5087700
2025-06-11,41.35,41.76,41.32,41.62,4494300
2025-06-12,42.21,42.63,42.09,42.49,3558700
2025-06-13,41.62,41.93,40.81,40.86,7658600
2025-06-16,40.93,41.11,40.35,40.49,4651900
2025-06-17,40.2,40.39,39.64,39.72,4685400
2025-06-18,39.47,39.52,38.58,38.64,8171500
2025-06-20,38.72,38.72,37.82,38.07,8245800
2025-06-23,37.8,38.31,37.79,38.26,4858800
2025-06-24,38.49,38.91,38.4,38.68,4820900
2025-06-25,38.39,38.43,38.15,38.28,3829500
2025-06-26,38.52,38.81,38.38,38.55,4773200
2025-06-27,38.74,38.84,38.4,38.58,4919200
2025-06-30,38.51,38.72,38.22,38.4,4803600
2025-07-01,38.48,39.4,38.33,38.95,6553700
2025-07-02,38.51,38.87,38.28,38.51,4880200
2025-07-03,38.37,38.59,37.93,38.18,3002600
2025-07-07,38.19,38.37,38.02,38.19,3866100
2025-07-08,37.97,38.68,37.94,38.48,5121300
2025-07-09,38.71,39.12,38.68,39.04,3624200
2025-07-10,39.39,40.11,39.31,39.58,6087300
2025-07-11,38.7,38.72,38.15,38.28,6299600
2025-07-14,38.34,38.6,38.19,38.29,4798000
2025-07-15,38.97,38.97,37.59,37.82,8569200
2025-07-16,37.88,38.58,37.87,38.28,6323800
2025-07-17,37.95,38.24,35.45,36.47,14706000
2025-07-18,36.8,36.87,36.16,36.31,6134600
2025-07-21,36.29,36.62,36.19,36.2,3344200
2025-07-22,36.35,37.02,36.34,37.02,5146600
2025-07-23,37.15,38.9,37.13,38.03,13453900
2025-07-24,37.93,38.32,37.77,38.23,4735200
2025-07-25,37.71,37.97,37.51,37.97,4016800
2025-07-28,37.96,37.99,37.31,37.45,3731500
2025-07-29,37.43,37.91,37.1,37.67,6336400
2025-07-30,38.32,39.17,38.26,38.97,7846700
2025-07-31,37.46,38.22,37.09,37.15,8005800
2025-08-01,37.68,37.78,37.17,37.56,3678400
2025-08-04,37.12,37.68,37.04,37.68,3288100
2025-08-05,37.58,37.67,37.09,37.32,3405300
2025-08-06,37.14,37.38,36.75,36.75,3121300
2025-08-07,37.14,37.8,37.07,37.58,3709800
2025-08-08,37.71,37.97,37.67,37.8,3409800
2025-08-11,37.96,38.2,37.71,37.71,2605600
2025-08-12,37.88,38.27,37.8,38.22,2655500
2025-08-13,38.75,39.33,38.62,39.13,3493200
2025-08-14,38.75,39.23,38.64,39.23,2705200
2025-08-15,38.72,39.36,38.7,39.36,3038500
2025-08-18,39.24,39.36,39.02,39.07,2442400
2025-08-19,39.15,39.63,39.15,39.62,3447800
2025-08-20,39.81,40.55,39.81,40.07,4492300
2025-08-21,40.09,40.34,40.03,40.08,2140000
2025-08-22,40.36,40.57,40.08,40.19,3403700
2025-08-25,40.19,40.24,39.57,39.64,1877900
2025-08-26,40.08,40.09,39.61,39.83,2280600
2025-08-27,39.91,40.13,39.76,39.91,3757900
2025-08-28,39.87,39.88,39.41,39.44,4676900
2025-08-29,39.32,39.69,39.21,39.67,3591600
2025-09-02,39.16,39.53,38.63,38.96,4325800
2025-09-03,39.24,39.7,39.17,39.36,4207600
2025-09-04,39.36,39.69,39.18,39.61,2935700
2025-09-05,39.89,40.71,39.85,40.5,6540600
2025-09-08,39.76,40.08,39.37,40.05,2817300
2025-09-09,40.42,41,40.34,40.78,9420700
2025-09-10,40.54,40.63,40.38,40.5,3014100
2025-09-11,40.91,41.53,40.84,41.48,2653400
2025-09-12,41.24,41.39,40.5,40.83,4742000
2025-09-15,40.7,40.81,40.24,40.3,2793600
2025-09-16,40.3,40.42,40.03,40.05,3238700
2025-09-17,40.28,40.53,40.13,40.36,3929300
2025-09-18,40.1,40.36,40.05,40.3,2019500
2025-09-19,40.64,40.83,40.51,40.67,3691400
2025-09-22,40.65,41.1,40.53,40.91,3093500
2025-09-23,40.93,40.93,40.46,40.52,3389300
2025-09-24,40.11,40.37,39.92,40.18,3285900
2025-09-25,40.16,40.23,39.29,39.52,4638100
2025-09-26,39.93,40.23,39.46,39.85,4760800
2025-09-29,40.49,41.1,40.36,41.1,7271600
2025-09-30,41.85,43.32,41.75,43.16,11695600
2025-10-01,44.22,45.59,44.17,45.51,14144200
2025-10-02,44.71,44.96,43.65,43.69,13319100
2025-10-03,44.07,44.26,43.04,43.35,13115700
2025-10-06,43.7,44.02,43.35,43.45,6465400
2025-10-07,43.26,43.68,43.09,43.5,3867500
2025-10-08,43.76,43.9,43.34,43.35,2947900
2025-10-09,44.05,44.23,43.38,43.44,4429700
2025-10-10,43.76,43.78,43.1,43.54,5318600
2025-10-13,43.24,43.75,43.21,43.69,3151500
2025-10-14,43.81,44.17,43.71,44.15,3693700
2025-10-15,43.22,43.93,43.22,43.78,4551800
2025-10-16,43.97,44.1,43.62,43.77,2609700
2025-10-17,43.37,44.35,43.34,43.91,4076100
2025-10-20,43.88,44.31,43.71,44.12,3216800
2025-10-21,44.35,44.44,43.83,43.94,3909800
2025-10-22,44.06,44.47,44.01,44.26,3044500
2025-10-23,43.99,46.87,43.98,45.54,7897600
2025-10-24,43.79,43.99,42.85,43.24,9860100
2025-10-27,43.85,44.22,43.65,43.8,5573100
2025-10-28,44,44.24,42.89,43.7,8410100
2025-10-29,46.02,46.71,45.5,45.93,13924300
2025-10-30,45.93,47.16,45.82,46.94,8724800
2025-10-31,46.85,47.12,46.57,46.86,5027400
2025-11-03,46.75,46.75,46.26,46.35,4764800
2025-11-04,46.09,47.02,45.99,46.82,5065300
2025-11-05,46.56,47.04,46.52,46.69,5525000
2025-11-06,46.84,47.21,46.62,47.1,4212600
2025-11-07,46.75,46.93,46.39,46.63,5552900
2025-11-10,46.75,47.37,46.56,47.36,2861700
2025-11-11,47.83,48.48,47.82,48.41,3916100
2025-11-12,47.76,48.31,47.52,48.07,3565900
2025-11-13,48.02,48.69,48.01,48.14,4035800
2025-11-14,47.32,47.57,47.1,47.18,5054200
2025-11-17,47.6,47.98,47.42,47.53,3735100
2025-11-18,47.03,47.48,46.96,47.37,4635000
2025-11-19,47.02,47.08,46.32,46.34,6213100
2025-11-20,46.6,46.6,45.81,46.11,6208600
2025-11-21,46.49,47.32,46.47,47.19,4235300
2025-11-24,47.03,47.34,46.86,46.99,5306100
2025-11-25,47.35,47.92,47.31,47.55,6602200
2025-11-26,48.04,48.36,47.98,48.02,4282100
2025-11-28,47.88,47.9,47.42,47.86,2851800
2025-12-01,48.06,48.08,47.13,47.19,3663200
2025-12-02,48.09,48.41,47.78,48.27,4840400
2025-12-03,48.95,49.31,48.8,48.97,3696000
2025-12-04,48.95,49.06,48.53,48.57,3326100
2025-12-05,48.77,48.85,48.01,48.41,2380400
2025-12-08,48.39,48.58,48.15,48.47,4354000
2025-12-09,48.01,48.29,47.2,47.27,3782600
2025-12-10,48.04,48.44,47.82,48.41,2988000
2025-12-11,48.46,48.97,48.45,48.88,3871100
2025-12-12,48.9,48.99,48.56,48.81,2972500
2025-12-15,48.91,49.39,48.9,49.24,4059100
2025-12-16,49.28,49.36,48.52,48.78,3800700
2025-12-17,49.35,49.44,48.68,48.71,5257600
