date,open,high,low,close,volume
2025-03-05,91.08,93.45,90.5,93.19,13117100
2025-03-06,93.13,94.05,91.78,94,11300200
2025-03-07,94.26,97.37,93.85,94.65,24100900
2025-03-10,94.69,97,94.69,95.23,20897600
2025-03-11,94.98,95.38,93.58,94.73,21734800
2025-03-12,94.07,94.4,92.86,93.35,11896000
2025-03-13,93.4,96.34,93.4,94.71,16570100
2025-03-14,94.28,94.88,93.45,94.57,12681100
2025-03-17,93.65,95.3,93.08,94.79,12237900
2025-03-18,95.23,95.41,93.84,94.72,8670100
2025-03-19,95.25,95.43,93.64,94.02,11355900
2025-03-20,94,95.16,93.68,94.73,12970200
2025-03-21,94.58,94.68,93.07,93.11,68435800
2025-03-24,92.9,93.11,91.56,92.31,16950100
2025-03-25,92.31,92.31,87.08,87.87,20640200
2025-03-26,88.24,89.32,87.31,88.11,13808800
2025-03-27,88.5,88.56,87.38,87.6,12931900
2025-03-28,88.2,90.14,87.67,89.23,12393500
2025-03-31,89.25,90.27,88.37,89.76,15003000
2025-04-01,89.75,89.75,86.61,87.12,13922100
2025-04-02,86.88,87.07,85.32,86.6,10590800
2025-04-03,88.73,88.9,86.26,86.39,12684100
2025-04-04,86.12,86.27,81.08,81.47,22965700
2025-04-07,81.01,83.21,79.3,81.18,26582000
2025-04-08,83.21,83.27,77.54,78.95,20571600
2025-04-09,76.76,81.99,76,81.91,22928300
2025-04-10,80.61,81.12,75.96,77.55,19466900
2025-04-11,77.87,79.44,76.35,79.18,16194400
2025-04-14,80.02,80.02,78.36,79.17,15796700
2025-04-15,79.55,79.96,77.72,78.39,16042500
2025-04-16,78.47,78.69,75.93,76.46,16551300
2025-04-17,76.89,78.75,76.88,78,21416500
2025-04-21,78.08,78.19,76.99,77.85,11010000
2025-04-22,78.03,79.04,77.66,78.97,12918200
2025-04-23,78.5,80.2,78,78.74,17935700
2025-04-24,78.28,79.97,76.03,79.84,18471500
2025-04-25,80.17,83.28,78.06,82.74,28378000
2025-04-28,83,83.68,82.4,83.19,14241000
2025-04-29,83.78,85.69,82.75,84.71,18802900
2025-04-30,85.27,85.83,83.79,85.2,13825100
2025-05-01,84.51,84.58,83.17,83.26,10036400
2025-05-02,84.19,84.71,82.95,83.18,11755600
2025-05-05,83.23,83.58,81.91,82.84,8688000
2025-05-06,82.47,82.48,78.29,79.04,16991100
2025-05-07,79.62,79.9,78.76,79.12,12216900
2025-05-08,78.5,78.8,76.93,77.65,15059100
2025-05-09,77.96,78.45,75.82,75.97,15614500
2025-05-12,75.92,81.27,75.83,80.43,21761100
2025-05-13,76.95,78.55,76.56,76.63,23353200
2025-05-14,77.46,77.46,73.32,73.47,23721800
2025-05-15,73.77,74.81,73.31,74.8,15274800
2025-05-16,74.99,76.17,74.37,76.06,15021800
2025-05-19,75.96,77.25,75.69,77.23,11682600
2025-05-20,77.55,79.18,77.42,77.97,13262400
2025-05-21,77.77,78.1,76.87,76.98,11879500
2025-05-22,76.72,78.36,76.68,77.84,11800000
2025-05-23,77.55,77.9,77.08,77.58,10902200
2025-05-27,78.02,78.2,77.05,77.59,11884500
2025-05-28,77.43,77.72,75.59,76.17,12293200
2025-05-29,75.69,77,75.69,76.4,10785200
2025-05-30,76.94,77.56,75.59,76.84,20641500
2025-06-02,77.02,77.02,75.4,76.25,11271800
2025-06-03,76,77.19,75.44,77.14,18139200
2025-06-04,77.47,79.14,77.33,78.27,13009300
2025-06-05,78.41,78.55,77.25,77.62,13983700
2025-06-06,78.3,79.49,78.21,78.97,9863100
2025-06-09,79.61,80.41,78.67,79.33,18305800
2025-06-10,79.34,81.88,79.33,81.35,13254100
2025-06-11,81.35,81.68,79.98,80.32,11803300
2025-06-12,80.19,82.11,80.07,81.82,13169200
2025-06-13,81.65,82.44,81.45,81.71,14550500
2025-06-16,80.88,81.35,79.71,80.96,12569400
2025-06-17,80.28,80.7,78.19,78.28,14040600
2025-06-18,78.05,80.31,77.1,79.29,23803400
2025-06-20,79.25,79.92,78.6,79.06,34052300
2025-06-23,79.24,80.22,78.99,80.16,18553800
2025-06-24,80.37,81.46,79.09,80.32,15906400
2025-06-25,79.64,80.12,79.16,79.67,12753200
