date,open,high,low,close,volume
2025-03-05,91.5,91.9,90.29,90.86,8011700
2025-03-06,87.95,89.03,87.46,88.04,5450900
2025-03-07,88.37,88.55,86.35,87.17,5278200
2025-03-10,79.81,80.7,78.3,78.95,12603400
2025-03-11,78.88,79.27,77,78.11,7433500
2025-03-12,74.32,75.34,73.8,74.79,10858200
2025-03-13,76.02,77.34,75.4,75.89,8228200
2025-03-14,75.75,77.55,75.24,77.15,6505900
2025-03-17,79.64,80.56,79.35,80.15,5995800
2025-03-18,82.21,82.57,80.21,80.98,5696400
2025-03-19,80.15,80.23,78.48,79,6920600
2025-03-20,79.22,79.56,78.49,78.79,4572500
2025-03-21,75.96,77.29,75.52,76.86,5880500
2025-03-24,74.97,76,74.9,75.33,8083200
2025-03-25,75.88,76.05,73.2,73.6,8895600
2025-03-26,72.56,72.86,71.6,71.73,7582300
2025-03-27,70.16,70.64,69.77,70.16,7970800
2025-03-28,70.17,70.35,69.18,69.3,5867000
2025-03-31,67.72,69.63,66.88,69.44,6826100
2025-04-01,69.98,70,67.64,68.03,6213800
2025-04-02,67.51,68.72,67.32,68.24,7337200
2025-04-03,68.43,68.54,67,67.1,8822500
2025-04-04,65.23,65.47,62.37,62.55,10869500
2025-04-07,61.44,65.28,60.61,63.64,14551900
2025-04-08,64.92,65.05,60.83,61.6,8100500
2025-04-09,60.49,65.3,59.52,65.09,13243300
2025-04-10,63.12,63.24,59.32,61.21,9984000
2025-04-11,63.73,65,63.23,64.73,11392100
2025-04-14,66.48,66.75,65.33,66.06,8067300
2025-04-15,65.64,65.95,63.86,64.49,5945600
2025-04-16,64.33,64.41,62.4,62.88,6302600
2025-04-17,57.91,59.06,57.28,58.08,32220600
2025-04-21,58.25,59.3,57,58.33,13419300
2025-04-22,59.01,60.18,58.92,59.91,11697900
2025-04-23,61.77,62.43,60.89,61.3,9128700
2025-04-24,62.48,62.74,61.84,62.63,7891100
2025-04-25,60.67,62.27,60.57,62.08,7835200
2025-04-28,62.19,63.25,61.97,62.62,6280300
2025-04-29,65.26,65.41,64.16,65.16,10923700
2025-04-30,66.47,66.64,65.4,66.45,9242900
2025-05-01,68.81,68.83,64.18,65.6,16439500
2025-05-02,69.75,69.86,68.53,69.23,13466300
2025-05-05,69.17,69.79,68.89,69.12,8811400
2025-05-06,67.96,68.12,65.99,66.29,10554700
2025-05-07,69.35,69.67,66.82,67.55,14153000
2025-05-08,65.91,65.96,64.4,64.85,12047100
2025-05-09,67,67.44,65.59,65.77,13071300
2025-05-12,64.09,67.75,64.04,67.74,18259700
2025-05-13,66.61,66.63,64.95,65.4,10357000
2025-05-14,66.5,66.83,64.09,64.41,10176100
2025-05-15,65.2,66.3,64.78,66.15,9074700
2025-05-16,64.4,64.7,63.13,64.37,19012600
2025-05-19,65.37,67.03,64.87,67.02,11194300
2025-05-20,69.44,70,67.65,68.2,12559100
2025-05-21,68.32,69.75,68.13,68.2,8983400
2025-05-22,66.41,68.52,66.36,68.17,7192300
2025-05-23,67.26,67.89,66.6,67.35,6508400
2025-05-27,70.81,71.3,69.87,70.44,9250600
2025-05-28,69.38,69.88,68.36,68.6,7864700
2025-05-29,69.26,69.5,68.3,69.46,8993300
2025-05-30,69.79,71.57,69.07,71.5,11194200
2025-06-02,71.77,72.85,71.26,72.83,16807900
2025-06-03,71.6,71.96,70.58,70.91,8822700
2025-06-04,72.18,73.14,72.02,72.04,6917000
2025-06-05,73.14,73.65,72.32,72.65,5090500
2025-06-06,74.15,75.16,73.97,74.63,9549900
2025-06-09,75.01,76.85,74.16,75.46,10885800
