date,open,high,low,close,volume
2025-03-05,25.7,26.18,25.66,25.94,37062400
2025-03-06,25.93,26.46,25.9,26.24,46998300
2025-03-07,26.4,26.89,26.18,26.73,54337700
2025-03-10,26.64,27.24,26.54,26.64,53013500
2025-03-11,26.57,26.62,25.87,25.99,44841400
2025-03-12,25.94,25.97,25.5,25.71,37331000
2025-03-13,25.76,26.07,25.53,25.6,36717900
2025-03-14,25.62,25.76,25.5,25.72,30298300
2025-03-17,25.74,26.15,25.59,26.05,32676900
2025-03-18,26.21,26.4,26.1,26.31,32958700
2025-03-19,26.33,26.5,26.08,26.21,42522700
2025-03-20,26.25,26.3,26.02,26.19,35378900
2025-03-21,26.13,26.52,26.01,26.28,349996500
2025-03-24,26.1,26.22,25.89,26.14,37944400
2025-03-25,26.16,26.2,25.51,25.55,47607600
2025-03-26,25.52,25.65,25.13,25.21,49487400
2025-03-27,25.2,25.23,24.83,25.01,51302000
2025-03-28,25.03,25.22,24.81,25.21,32352500
2025-03-31,24.8,25.43,24.61,25.34,53498100
2025-04-01,25.29,25.35,24.52,24.54,54444200
2025-04-02,24.5,24.74,24.31,24.7,41965000
2025-04-03,24.74,24.87,24.28,24.29,53501800
2025-04-04,23.94,24.1,22.95,22.97,80002600
2025-04-07,22.14,23.16,21.75,22.63,86106100
2025-04-08,22.9,22.99,21.44,21.84,72406000
2025-04-09,21.11,22.54,20.92,22.49,95954400
2025-04-10,22.26,22.27,21.09,21.59,72960700
2025-04-11,21.59,22,21.28,21.91,55078100
2025-04-14,22.08,22.23,21.87,22.12,61900900
2025-04-15,22.17,22.93,22.13,22.44,51814700
2025-04-16,22.49,22.68,21.95,22.04,37641200
2025-04-17,22.15,22.55,22.1,22.14,54073700
2025-04-21,22.13,22.17,21.87,22.04,32021000
2025-04-22,22.18,22.55,22.15,22.53,36052600
2025-04-23,22.78,23.06,22.24,22.39,50781000
2025-04-24,22.4,22.86,22.23,22.78,35009600
2025-04-25,22.77,23.11,22.48,22.92,35847700
2025-04-28,23.03,23.29,22.9,23.05,55888900
2025-04-29,22.83,24.12,22.46,23.79,98540200
2025-04-30,24.2,24.44,23.98,24.41,53941700
2025-05-01,24.3,24.33,23.8,23.93,46891700
2025-05-02,24.28,24.3,23.97,24.2,41685800
2025-05-05,24.2,24.25,23.85,23.87,40811800
2025-05-06,23.83,23.89,22.85,22.88,60872600
2025-05-07,22.99,23.09,22.72,22.79,48270500
2025-05-08,22.82,23.09,22.51,22.97,55669800
2025-05-09,22.51,22.6,22.26,22.28,39059800
2025-05-12,22.23,23.15,22.18,23.09,77480900
2025-05-13,22.9,22.98,22.49,22.87,41193200
2025-05-14,22.86,22.9,21.97,22.02,59394000
2025-05-15,22.2,22.6,22.09,22.6,51800100
2025-05-16,22.65,22.85,22.45,22.83,37786800
2025-05-19,22.74,23.03,22.64,23,31513700
2025-05-20,23.17,23.7,23.16,23.52,57047500
2025-05-21,23.47,23.48,23.04,23.04,42984700
2025-05-22,23.04,23.16,22.81,23.04,38602800
2025-05-23,22.95,23.39,22.88,23.32,35405400
2025-05-27,23.55,23.66,23.37,23.61,36155400
2025-05-28,23.61,23.64,23.11,23.18,36737200
2025-05-29,23.33,23.45,23.16,23.45,26091400
2025-05-30,23.48,23.62,23.16,23.49,56618600
2025-06-02,23.54,23.56,23.22,23.46,30443900
2025-06-03,23.38,23.54,23.06,23.35,37887100
2025-06-04,23.41,23.54,23.35,23.39,24500100
2025-06-05,23.44,23.44,23.08,23.12,33173600
2025-06-06,23.27,23.58,23.25,23.35,30426200
2025-06-09,23.44,24.14,23.42,23.97,42542600
2025-06-10,23.97,24.42,23.96,24.3,40439200
2025-06-11,24.33,24.69,24.32,24.48,38558700
2025-06-12,24.53,24.88,24.53,24.84,42465400
2025-06-13,24.79,24.95,24.46,24.54,46368400
2025-06-16,24.5,24.59,24.28,24.4,35102100
2025-06-17,24.27,24.32,23.91,24,40408800
2025-06-18,23.96,24.08,23.77,23.88,37076200
2025-06-20,24,24.09,23.77,23.97,63098100
2025-06-23,23.87,24.09,23.77,24.03,31959100
2025-06-24,24.14,24.4,24.11,24.31,34404200
2025-06-25,24.21,24.37,24.07,24.26,25603300
2025-06-26,24.32,24.43,24.16,24.24,31835300
2025-06-27,24.35,24.42,24.08,24.19,39528800
2025-06-30,24.21,24.38,24.12,24.24,44730900
2025-07-01,24.28,25.35,24.26,25.04,59259900
2025-07-02,25.13,25.36,25.03,25.32,36772100
2025-07-03,25.35,25.52,25.22,25.38,27104600
2025-07-07,25.36,25.53,25.14,25.24,34905900
2025-07-08,25.24,25.96,25.21,25.62,51275800
