date,open,high,low,close,volume
2025-03-05,58.27,59.19,58.25,59.15,3617500
2025-03-06,58.93,59.72,58.8,59.42,5019200
2025-03-07,59.14,59.66,58.97,59.25,3783300
2025-03-10,59.85,60.12,58.87,59.35,3099800
2025-03-11,59.85,59.88,58.36,58.74,1887200
2025-03-12,58.07,58.07,57.44,57.69,3235700
2025-03-13,57.37,57.86,57.34,57.75,3279600
2025-03-14,57.88,57.93,57.56,57.75,1757600
2025-03-17,58.33,59.05,58.29,58.92,3512900
2025-03-18,58.94,59.17,58.72,59.11,3381100
2025-03-19,59.13,59.13,58.21,58.6,3249100
2025-03-20,58.02,58.16,57.18,57.79,2002400
2025-03-21,57.41,57.6,56.62,56.9,1950500
2025-03-24,56.07,56.42,55.78,55.93,1816200
2025-03-25,56.93,56.93,55.4,55.45,3950000
2025-03-26,54.37,54.84,53.98,54.5,3002600
2025-03-27,54.77,55.05,54.7,54.91,1320300
2025-03-28,55.84,56,55.62,55.82,2059600
2025-03-31,54.95,55.62,54.6,55.46,1559200
2025-04-01,55.5,55.5,54.18,54.34,3810200
2025-04-02,53.87,54.44,53.78,53.95,1682600
2025-04-03,55.66,55.77,54.58,54.62,1842100
2025-04-04,53.73,53.86,51.62,51.98,3162400
2025-04-07,50.19,52.19,49.46,50.76,4010500
2025-04-08,51.33,51.34,49,49.86,4267000
2025-04-09,48.19,51.57,47.7,51.21,6026500
2025-04-10,50.21,50.21,48.72,49.66,2657800
2025-04-11,50.58,51.8,50.2,51.5,3191000
2025-04-14,51.44,52.22,51.37,51.84,2649900
2025-04-15,51.28,51.91,50.51,50.6,6523700
2025-04-16,51.59,51.62,50.39,50.56,6232500
2025-04-17,51.17,51.64,50.87,50.9,2856400
2025-04-21,51.3,51.4,50.46,50.93,2604000
2025-04-22,51.25,52.26,51.25,51.85,4414100
2025-04-23,52.46,53.09,52.3,53.02,3052000
2025-04-24,52.86,53.7,52.38,53.54,4136400
2025-04-25,52.86,52.92,52.23,52.32,5488700
2025-04-28,52.76,53.15,52.69,52.76,2005600
2025-04-29,53.14,53.81,52.94,53.72,2126400
2025-04-30,55.02,55.1,54.3,54.95,1687100
2025-05-01,55.1,55.13,53.94,54.1,1512200
2025-05-02,55.5,55.73,55.26,55.44,2254700
2025-05-05,55.26,55.29,54.14,54.59,1720700
2025-05-06,54.74,54.75,53.05,53.15,3507800
2025-05-07,52.32,52.44,51.67,52.27,2128700
2025-05-08,52.16,52.22,51.73,52.13,1886500
2025-05-09,50.29,50.6,49.88,49.9,2156800
2025-05-12,49.97,51.22,49.88,51.06,2797100
2025-05-13,50.71,50.71,49.84,49.96,2973300
2025-05-14,50.22,50.32,48.62,49.21,2810400
2025-05-15,50.04,50.87,49.86,50.86,2416600
2025-05-16,50.96,51.71,50.94,51.68,2724200
2025-05-19,51.65,52.29,51.61,52.28,1500900
2025-05-20,52.75,53,52.52,52.89,1216100
2025-05-21,53.16,53.36,52.81,52.9,1460300
2025-05-22,52.53,52.87,52.39,52.51,1716600
2025-05-23,51.86,52.37,51.8,51.98,1833700
2025-05-27,52.9,53.03,52.29,52.39,1925600
2025-05-28,52.18,52.38,51.8,51.99,3469000
2025-05-29,52.18,52.41,51.88,52.35,2236500
2025-05-30,49.91,49.92,48.59,49.37,4670500
2025-06-02,48.99,49.31,48.82,49.19,2121000
2025-06-03,49.01,49.55,48.7,49.19,3576500
2025-06-04,49.37,49.77,49.37,49.5,1392300
2025-06-05,49.91,50.09,49.51,49.76,1887400
2025-06-06,49.97,50.56,49.96,50.47,1737400
2025-06-09,49.92,50.14,49.71,49.75,1797900
2025-06-10,49.93,50.16,49.83,49.88,1184800
2025-06-11,49.86,50.06,49.6,49.7,1579400
2025-06-12,50.16,51.04,50.03,50.83,1947300
2025-06-13,49.46,50.3,49.32,49.67,2303900
2025-06-16,50.02,50.18,49.33,49.41,1946000
2025-06-17,48.98,49.11,48.18,48.22,2144600
2025-06-18,47.91,48.03,47.42,47.62,2783000
2025-06-20,48.07,48.11,47.45,47.86,5607600
2025-06-23,47.64,48.26,47.63,48.18,1415700
2025-06-24,48.45,48.93,48.39,48.42,2425600
2025-06-25,48.15,48.15,47.56,47.8,1598300
2025-06-26,48.31,48.46,48.09,48.37,1928200
2025-06-27,48.28,48.44,47.64,47.85,2683600
2025-06-30,48.43,48.55,47.99,48.31,1745700
2025-07-01,48.19,49.17,48.15,49.05,1602700
2025-07-02,48.98,49.37,48.89,49.31,2127300
2025-07-03,48.7,48.81,48.26,48.3,1555600
2025-07-07,48.23,48.52,48.08,48.32,2305600
2025-07-08,48.06,48.79,47.99,48.18,2426900
2025-07-09,48.72,49.02,48.6,48.83,2308700
2025-07-10,48.92,49.43,48.86,49.34,2219000
2025-07-11,48.64,48.75,48.39,48.61,1207400
2025-07-14,48.56,48.8,48.45,48.55,1471400
2025-07-15,48.75,48.75,47.87,48.12,1496600
2025-07-16,48.41,48.75,48.32,48.52,1615800
2025-07-17,48.1,48.65,48.03,48.65,1738700
2025-07-18,48.65,48.67,48,48.32,1652900
2025-07-21,48.08,48.3,47.89,47.93,1236800
2025-07-22,48.15,48.82,48.14,48.75,1269800
2025-07-23,49.43,50.4,49.43,50.16,2231300
2025-07-24,50.27,50.49,50,50.13,1466400
2025-07-25,49.91,50.37,49.65,50.37,1468600
2025-07-28,49.93,49.96,49.17,49.48,1807900
2025-07-29,49.43,49.71,49.1,49.35,2920800
2025-07-30,48.96,49.33,48.73,49.25,1783200
2025-07-31,45.46,46.47,44.73,45.64,9812300
2025-08-01,45.98,46.81,45.97,46.75,2519200
2025-08-04,46.83,48.07,46.82,48.05,2951300
2025-08-05,47.78,47.89,47.53,47.84,2755300
2025-08-06,47.29,47.47,46.14,46.18,3487200
2025-08-07,46.9,47.54,46.8,47.43,3651000
2025-08-08,46.89,47.48,46.81,47.13,2968300
2025-08-11,47.27,47.55,47.07,47.21,2771100
2025-08-12,47.35,48.08,47.29,48.05,1925700
2025-08-13,48.53,48.9,48.47,48.74,1685700
2025-08-14,48.34,49.07,48.23,49.04,2462300
2025-08-15,49.58,50.04,49.48,49.77,2022500
2025-08-18,49.65,50.15,49.64,49.84,3945300
2025-08-19,50.41,50.83,50.17,50.19,1734600
2025-08-20,50.68,51.24,50.53,50.53,1581300
2025-08-21,50.61,51,50.53,50.61,1491300
2025-08-22,51.18,51.6,51.11,51.35,1457300
